gpkg_fid,Name,Alt Name,Description,Canyon Region,Quality (1-10),Longest Abseil (m),Num Abseils,Technical Difficulty (B/BG/I/A),Remoteness/Accessbility (VEA/EA/M/R/VR),Distance,Flow Accumulation,Wetsuit Reccomendation (N/R/SR),Time,Source,Source Link,Image Path,long,lat
94,Gobsmacker Canyon,Lower Bowens Creek North Canyon,,Bowens Creek Canyons,8,15,4,,EA,8,,R,,,https://ozultimate.com/canyoning/track_notes/lower_bowens_creek_north.htm,,150.3932034,-33.5215018
95,Bowens Creek North (Upper),,,Bowens Creek Canyons,8,15,6,,EA,9,,R,,,https://ozultimate.com/canyoning/track_notes/bowens_creek_north.htm,,150.3650034,-33.5221018
96,Bowens Creek South (Lower) ?,,,Bowens Creek Canyons,,,,,,,,,,,,,150.3879034,-33.5358018
97,Bowens Creek South (Upper),,,Bowens Creek Canyons,9,20,7,BG,EA,7,,R,,,https://ozultimate.com/canyoning/track_notes/bowens_creek_south.htm,,150.3547034,-33.5529018
177,Hand Over Hand Canyon,,,Bowens Creek Canyons,,,,,,,,,,,,,150.3605214,-33.5486258
178,Hobnail Canyon,,,Bowens Creek Canyons,,,,,,,,,,,,,150.3669704,-33.5475428
179,Corkscrew Canyon,,,Bowens Creek Canyons,,,,,,,,,,,,,150.3634694,-33.5568238
252,Zircon Creek,,,Bowens Creek Canyons,,,,,,,,,,,,,150.4342466,-33.5057964
253,Waterfall Creek,,,Bowens Creek Canyons,,,,,,,,,,,,,150.3987277,-33.5049629
256,Ferny Cave,,,Bowens Creek Canyons,,,,,,,,,,,,,150.3635491,-33.5452441
257,Marihuana Canyon,,,Bowens Creek Canyons,,,,,,,,,,,,,150.3738665,-33.5493241
258,Corkscrew Canyon,,,Bowens Creek Canyons,,,,,,,,,,,,,150.3560511,-33.5510799
57,Coin Slot Canyon,,,Capertee Valley,,,,,,,,,,,,,150.3297034,-33.1224018
58,Bull Ant Canyon,,,Capertee Valley,,,,,,,,,,,,,150.3148034,-33.1336018
59,Freshwater Creek Canyon,,,Capertee Valley,,,,,,,,,,,,,150.3079034,-33.1515018
217,Woser's Canyon (RJ),,,Capertee Valley,,,,,,,,,,,,,150.3458184,-33.1325118
243,Dingo Creek Gorge,,,Capertee Valley,,,,,,,,,,,,,150.3948551,-33.1444318
98,Ranon Brook,,,Carmarthen Labyrinth,,,,,,,,,,,,,150.3924034,-33.5554018
99,Claustral Canyon,,,Carmarthen Labyrinth,,,,,,,,,,,,,150.4033034,-33.5603018
100,Thunder Canyon,,,Carmarthen Labyrinth,,,,,,,,,,,,,150.4001034,-33.5693018
130,King George Brook Canyon,,,Carmarthen Labyrinth,,,,,,,,,,,,,150.4118764,-33.5861908
131,Buramin Canyon,,,Carmarthen Labyrinth,,,,,,,,,,,,,150.4092854,-33.5938308
132,King George Brook Canyon,,,Carmarthen Labyrinth,,,,,,,,,,,,,150.3825434,-33.5805928
261,Gaping Gill,,,Carmarthen Labyrinth,,,,,,,,,,,,,150.4170668,-33.5673959
262,Explorers Brook,,,Carmarthen Labyrinth,,,,,,,,,,,,,150.3834368,-33.6026824
49,Midwinter Canyon,,,Coorongooba Labyrinth,,,,,,,,,,,,,150.2822034,-32.9391018
50,Blackboard Canyon,,,Coorongooba Labyrinth,,,,,,,,,,,,,150.3192034,-32.9525018
52,Anaconda Canyon,,,Coorongooba Labyrinth,,,,,,,,,,,,,150.2956034,-32.9916018
53,Boa Constrictor Canyon,,,Coorongooba Labyrinth,,,,,,,,,,,,,150.3070034,-33.0009018
